svg_label,station_ids,display_label,x,y
Meridian Coral Edge,PE2,Meridian Coral Edge (PE2),1154.0,275.0
Mo Kio,NS16,Mo Kio (NS16),742.0,329.0
Mountbatten,CC7,Mountbatten (CC7),1008.0,700.0
Napier,TE12,Napier (TE12),617.0,520.0
Newton,"DT11,NS21","Newton (DT11, NS21)",714.0,536.0
Nibong Sumang,PW5,Nibong Sumang (PW5),1063.0,181.0
Nicoll,CC5,Nicoll (CC5),950.0,748.0
Novena,NS20,Novena (NS20),748.0,504.0
Oasis,PE6,Oasis (PE6),1243.0,229.0
Orchard,"NS22,TE14","Orchard (NS22, TE14)",604.0,590.0
Outram,"EW16,NE3,TE17","Outram (EW16, NE3, TE17)",605.0,782.0
Panjang,"BP6,DT1","Panjang (BP6, DT1)",442.0,770.0
Panjang Cashew,DT2,Panjang Cashew (DT2),429.0,252.0
Park,CC27,Park (CC27),450.0,408.0
Park,CC27,Park (CC27),483.0,810.0
Park,CC27,Park (CC27),621.0,794.0
Park,CC27,Park (CC27),1360.0,661.0
Pasir,CC26,Pasir (CC26),458.0,758.0
Pasir Ris,EW1,Pasir Ris (EW1),1289.0,522.0
Pasir Ris East,EW1,Pasir Ris East (EW1),1321.0,554.0
Paya Lebar,"CC9,EW8","Paya Lebar (CC9, EW8)",1010.0,621.0
Pending,BP8,Pending (BP8),525.0,272.0
Petir,BP7,Petir (BP7),525.0,242.0
Phoenix,BP5,Phoenix (BP5),407.0,221.0
Pioneer,EW28,Pioneer (EW28),100.0,527.0
Potong Pasir,NE10,Potong Pasir (NE10),867.0,532.0
Punggol Coast,NE18,Punggol Coast (NE18),1264.0,132.0
Punggol Point,PW3,Punggol Point (PW3),1145.0,131.0
Punggol Teck,"NE17,PTC","Punggol Teck (NE17, PTC)",1117.0,215.0
Queenstown,EW19,Queenstown (EW19),561.0,672.5
Raffles Place,"EW14,NS26","Raffles Place (EW14, NS26)",808.0,831.0
Ranggung,SE5,Ranggung (SE5),1045.0,354.0
Redhill,EW18,Redhill (EW18),554.0,721.0
Reservoir Bedok,EW5,Reservoir Bedok (EW5),1149.0,607.0
Riviera,PE4,Riviera (PE4),1252.0,282.0
Road,CC20,Road (CC20),39.0,608.0
Rochor,DT13,Rochor (DT13),775.0,655.0
Rumbia,SE2,Rumbia (SE2),1155.0,335.0
Sam Kee,PW1,Sam Kee (PW1),1166.0,177.0
Samudera,PW4,Samudera (PW4),1056.0,142.0
Segar Fajar,BP10,Segar Fajar (BP10),569.0,207.0
Sembawang,NS11,Sembawang (NS11),650.0,80.0
Sengkang Renjong,"NE16,STC","Sengkang Renjong (NE16, STC)",1013.0,309.0
Senja,BP13,Senja (BP13),525.0,215.0
Serangoon,"CC13,NE12","Serangoon (CC13, NE12)",933.0,468.0
Serangoon North,"CC13,NE12","Serangoon North (CC13, NE12)",924.0,334.0
